inv,inc,consump,qtr,ln_inv,dln_inv,ln_inc,dln_inc,ln_consump,dln_consump
180,451,415,1960q1,5.1929569,,6.1114674,,6.0282784,
179,465,421,1960q2,5.187386,-.0055708885,6.1420374,.03057003,6.0426331,.014354706
185,485,434,1960q3,5.220356,.032969952,6.1841488,.042111397,6.0730443,.030411243
192,493,448,1960q4,5.2574954,.037139416,6.2005091,.016360283,6.1047931,.031748772
211,509,459,1961q1,5.3518581,.094362736,6.2324481,.03193903,6.1290503,.024257183
202,520,458,1961q2,5.3082676,-.043590546,6.253829,.021380901,6.1268692,-.0021810532
207,521,479,1961q3,5.3327188,.024451256,6.2557502,.0019211769,6.1717005,.044831276
214,540,487,1961q4,5.3659759,.033257008,6.2915692,.035819054,6.1882639,.016563416
231,548,497,1962q1,5.4424176,.076441765,6.3062754,.014706135,6.20859,.020326138
229,558,510,1962q2,5.433722,-.0086956024,6.3243589,.018083572,6.2344108,.025820732
234,574,516,1962q3,5.4553213,.021599293,6.3526292,.028270245,6.2461066,.011695862
237,583,525,1962q4,5.46806,.012738705,6.368187,.015557766,6.2633982,.017291546
206,591,529,1963q1,5.3278761,-.14018393,6.3818159,.01362896,6.2709885,.0075902939
250,599,538,1963q2,5.521461,.19358492,6.3952618,.013445854,6.2878585,.016870022
259,610,546,1963q3,5.556828,.035367012,6.4134588,.01819706,6.302619,.014760494
263,627,555,1963q4,5.572154,.015326023,6.4409466,.027487755,6.3189683,.016349316
264,642,574,1964q1,5.5759492,.0037951469,6.4645882,.023641586,6.3526292,.033660889
280,653,574,1964q2,5.6347895,.058840275,6.4815769,.016988754,6.3526292,0
282,660,586,1964q3,5.6419072,.0071177483,6.49224,.010663033,6.3733196,.020690441
292,694,602,1964q4,5.676754,.034846783,6.5424719,.050231934,6.4002576,.026937962
286,709,617,1965q1,5.655992,-.020761967,6.5638556,.021383762,6.4248691,.024611473
302,734,639,1965q2,5.7104268,.054434776,6.5985088,.034653187,6.4599047,.03503561
304,751,653,1965q3,5.7170277,.0066008568,6.6214056,.022896767,6.4815769,.021672249
307,763,668,1965q4,5.7268476,.0098199844,6.6372581,.015852451,6.5042882,.022711277
317,766,679,1966q1,5.7589016,.032053947,6.6411819,.003923893,6.5206213,.016333103
314,779,686,1966q2,5.749393,-.0095086098,6.658011,.016829014,6.5308776,.01025629
306,808,697,1966q3,5.7235851,-.025807858,6.694562,.036550999,6.5467854,.015907764
304,785,688,1966q4,5.7170277,-.0065574646,6.6656837,-.028878212,6.5337887,-.012996674
292,794,704,1967q1,5.676754,-.040273666,6.6770835,.011399746,6.5567784,.02298975
275,799,699,1967q2,5.6167712,-.059982777,6.6833611,.0062775612,6.5496507,-.0071277618
273,799,709,1967q3,5.6094718,-.0072994232,6.6833611,0,6.5638556,.014204979
301,812,715,1967q4,5.7071104,.097638607,6.6995006,.016139507,6.5722823,.0084266663
280,837,724,1968q1,5.6347895,-.072320938,6.7298241,.030323505,6.5847912,.012508869
289,853,746,1968q2,5.6664267,.031637192,6.7487597,.01893568,6.6147256,.029934406
303,876,758,1968q3,5.7137327,.047306061,6.7753663,.02660656,6.6306834,.015957832
322,897,779,1968q4,5.7745514,.060818672,6.7990561,.023689747,6.658011,.027327538
315,922,798,1969q1,5.7525725,-.021978855,6.8265452,.027489185,6.6821084,.024097443
339,949,816,1969q2,5.8260002,.073427677,6.8554087,.02886343,6.7044144,.022305965
364,979,837,1969q3,5.8971539,.071153641,6.8865318,.031123161,6.7298241,.025409698
371,988,858,1969q4,5.9162021,.019048214,6.8956828,.0091509819,6.7546039,.024779797
375,1025,881,1970q1,5.9269261,.010724068,6.9324479,.036765099,6.7810578,.026453972
432,1063,905,1970q2,6.0684257,.14149952,6.9688506,.036402702,6.8079348,.026876926
453,1104,934,1970q3,6.1158919,.047466278,7.0066953,.037844658,6.8394766,.031541824
460,1131,968,1970q4,6.1312265,.015334606,7.0308576,.024162292,6.8752322,.035755634
475,1137,983,1971q1,6.1633148,.03208828,7.0361485,.0052909851,6.8906093,.015377045
496,1178,1013,1971q2,6.2065759,.043261051,7.0715733,.035424709,6.9206715,.030062199
494,1211,1034,1971q3,6.2025356,-.0040402412,7.0992017,.027628422,6.9411902,.02051878
498,1256,1064,1971q4,6.2105999,.00806427,7.1356874,.036485672,6.9697905,.028600216
526,1290,1101,1972q1,6.2653012,.054701328,7.1623974,.026710033,7.003974,.034183502
519,1314,1102,1972q2,6.251904,-.013397217,7.1808314,.018434048,7.0048819,.00090789795
516,1346,1145,1972q3,6.2461066,-.0057973862,7.2048926,.024061203,7.04316,.038278103
531,1385,1173,1972q4,6.2747622,.028655529,7.2334552,.028562546,7.0673199,.024159908
573,1416,1216,1973q1,6.3508859,.076123714,7.2555914,.022136211,7.103322,.036002159
551,1436,1229,1973q2,6.3117347,-.039151192,7.2696166,.014025211,7.113956,.010633945
538,1462,1242,1973q3,6.2878585,-.02387619,7.2875605,.017943859,7.1244783,.010522366
532,1493,1267,1973q4,6.2766433,-.01121521,7.3085427,.020982265,7.1444073,.019928932
558,1516,1295,1974q1,6.3243589,.047715664,7.3238306,.015287876,7.166266,.021858692
524,1557,1317,1974q2,6.2614918,-.062867165,7.3505163,.026685715,7.1831117,.016845703
525,1613,1355,1974q3,6.2633982,.001906395,7.3858509,.035334587,7.2115569,.028445244
519,1642,1371,1974q4,6.251904,-.01149416,7.4036703,.017819405,7.2232957,.011738777
526,1690,1402,1975q1,6.2653012,.013397217,7.4324837,.028813362,7.2456551,.022359371
510,1759,1452,1975q2,6.2344108,-.030890465,7.4725008,.040017128,7.2806973,.035042286
519,1756,1485,1975q3,6.251904,.017493248,7.4707937,-.001707077,7.3031702,.022472858
538,1780,1516,1975q4,6.2878585,.035954475,7.4843688,.013575077,7.3238306,.0206604
549,1807,1549,1976q1,6.3080983,.02023983,7.4994235,.015054703,7.345365,.021534443
570,1831,1567,1976q2,6.3456364,.037538052,7.5126176,.013194084,7.3569183,.011553288
559,1873,1588,1976q3,6.3261495,-.019486904,7.5352969,.022679329,7.3702307,.01331234
584,1897,1631,1976q4,6.3699012,.043751717,7.5480289,.012732029,7.3969488,.02671814
611,1910,1650,1977q1,6.4150968,.04519558,7.5548587,.0068297386,7.4085307,.011581898
597,1943,1685,1977q2,6.3919172,-.023179531,7.5719886,.017129898,7.4295206,.020989895
603,1976,1722,1977q3,6.401917,.009999752,7.58883,.016841412,7.4512415,.021720886
619,2018,1752,1977q4,6.4281054,.026188374,7.6098623,.021032333,7.4685135,.017271996
635,2040,1774,1978q1,6.4536252,.025519848,7.6207051,.0108428,7.4809923,.012478828
658,2070,1807,1978q2,6.4892049,.035579681,7.635304,.014598846,7.4994235,.018431187
675,2121,1831,1978q3,6.5147128,.025507927,7.6596432,.024339199,7.5126176,.013194084
700,2132,1842,1978q4,6.5510802,.036367416,7.6648159,.0051727295,7.5186071,.0059895515
692,2199,1890,1979q1,6.5395861,-.01149416,7.6957579,.030941963,7.544332,.025724888
759,2253,1958,1979q2,6.6320019,.09241581,7.7200179,.024260044,7.579679,.035346985
782,2276,1948,1979q3,6.6618547,.029852867,7.730175,.010157108,7.5745583,-.0051207542
816,2318,1994,1979q4,6.7044144,.042559624,7.7484598,.018284798,7.597898,.023339748
844,2369,2061,1980q1,6.7381525,.033738136,7.7702231,.021763325,7.6309466,.03304863
830,2423,2056,1980q2,6.7214255,-.016726971,7.7927618,.022538662,7.6285176,-.0024290085
853,2457,2102,1980q3,6.7487597,.027334213,7.8066964,.013934612,7.6506448,.022127151
852,2470,2121,1980q4,6.7475867,-.0011730194,7.8119736,.0052771568,7.6596432,.008998394
833,2521,2145,1981q1,6.7250338,-.022552967,7.8324108,.020437241,7.6708946,.01125145
860,2545,2164,1981q2,6.7569323,.031898499,7.841886,.0094752312,7.6797137,.0088191032
870,2580,2206,1981q3,6.7684932,.011560917,7.8555446,.013658524,7.698936,.01922226
830,2620,2225,1981q4,6.7214255,-.047067642,7.8709297,.015385151,7.7075124,.0085763931
801,2639,2235,1982q1,6.6858611,-.035564423,7.8781552,.0072255135,7.7119966,.0044841766
824,2618,2237,1982q2,6.7141705,.028309345,7.8701658,-.0079894066,7.7128911,.00089454651
831,2628,2250,1982q3,6.72263,.008459568,7.8739786,.0038127899,7.7186856,.0057945251
830,2651,2271,1982q4,6.7214255,-.0012044907,7.8826923,.0087137222,7.7279754,.0092897415
